isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH SOUTH 178 0
true false SOUTH WEST 178 0
true false WEST NORTH 177 10
true false NORTH WEST 176 20
true false WEST WEST 176 20
true false WEST EAST 176 20
true false EAST WEST 176 20
true false WEST NORTH 176 20
true false NORTH NORTH 175 30
true false NORTH EAST 175 30
true false EAST WEST 175 30
true false WEST EAST 174 40
true false EAST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST WEST 173 50
true false WEST EAST 173 50
true false EAST WEST 173 50
true false WEST WEST 173 50
true false WEST NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH WEST 173 50
true false WEST EAST 173 50
true false EAST WEST 173 50
true false WEST NORTH 173 50
true false NORTH EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST WEST 172 60
true false WEST EAST 172 60
true false EAST EAST 172 60
true false EAST WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST NORTH 170 80
true false NORTH EAST 170 80
true false EAST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH WEST 169 90
true false WEST WEST 169 90
true false WEST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST WEST 169 90
true false WEST EAST 169 90
true false EAST NORTH 168 100
true false NORTH EAST 168 100
true false EAST WEST 167 110
true false WEST NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH SOUTH 167 110
true false SOUTH SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST WEST 167 110
true false WEST EAST 167 110
